"ClipID","EventID","INSTANCE_TYPE","SYNOPSIS","GENRE","TOPIC","SCENE","OBJECTS","ACTIVITIES","INSTANCE_VARIETY","INSTANCE_COMPLEXITY","AUDIO_EVIDENCE","TEXT_EVIDENCE","NON_ENG_SPEECH","NON_ENG_TEXT"
"481","NULL","NULL","Little boys and dad running along the beach","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"505","NULL","NULL","A child with his fElmo birthday cake.","Home Video","CELEBRATION","","","","","","","","",""
"516","NULL","NULL","A man explains the corrct way to hit a wiffle ball.","Tutorial","SPORTS","","","","","","","","",""
"522","P002","positive","A batter gets a hit and 2 runs score, in a little league game.","Home Video","MED_10_EVENTS","","","","","","yes","no","no","no"
"633","P002","positive","A batter hits the ball, and a runner beats a throw to the plate.","Amateur Footage","MED_10_EVENTS","","","","","","yes","no","no","no"
"657","NULL","NULL","kids microwave a marshmallow in liquid to show the process of diffusion","Home Video","SCIENCE & TECHNOLOGY","","","","","","","","",""
"675","NULL","NULL","demonstration of basic turntable parts then how to install the belt","Demonstration","EQUIPMENT REPAIR/MAINTENANCE","","","","","","","","",""
"677","NULL","NULL","Two brothers in a gatorade drinking contest","Home Video","FOOD & DRINK","","","","","","","","",""
"680","NULL","NULL","Glassblowing demo","Demonstration","ARTS & CRAFTS & HOBBIES","","","","","","","","",""
"709","P002","positive","Little league batter hits in a run","Home Video","MED_10_EVENTS","","","","","","no","no","no","no"
"713","P002","positive","Montage of little league at bats including a run batted in","Home Video","MED_10_EVENTS","","","","","","no","no","no","no"
"716","P002","positive","Montage of little league at bats including runs being batted in","Home Video","MED_10_EVENTS","","","","","","no","no","no","no"
"717","P002","positive","Home run","Home Video","MED_10_EVENTS","","","","","","no","no","no","no"
"720","NULL","NULL","Montage of ultimate frisbee highlights","Home Video","SPORTS","","","","","","","","",""
"721","NULL","NULL","Indoor ultimate frisbee scrimmage","Home Video","SPORTS","","","","","","","","",""
"728","NULL","NULL","Utlimate frisbee tournament highlights","Home Video","SPORTS","","","","","","","","",""
"729","NULL","NULL","A commercial promoting softball in Canada.","Performance","OUTDOOR ACTIVITIES","","","","","","","","",""
"731","NULL","NULL","Man teaches viewer the 'Baseball Drill' golf swing.","Tutorial","SPORTS","","","","","","","","",""
"736","NULL","NULL","Advertisement for Lucky Strike cigarettes taking place at a ball park.","Advertisement (public domain)","ADVERTISEMENT","","","","","","","","",""
"739","NULL","NULL","Cats playing in a box","Home Video","ANIMALS","","","","","","","","",""
"741","NULL","NULL","Flowers blowing in the wind","Home Video","NATURE","","","","","","","","",""
"745","NULL","NULL","Little girl playing with cats in a shower","Home Video","ANIMALS","","","","","","","","",""
"755","NULL","NULL","Little girl hunting for easter eggs","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"788","NULL","NULL","A man receives  a birthday cake  & celebrates with friends and or family members.","Amateur Footage","CELEBRATION","","","","","","","","",""
"855","NULL","NULL","A boy shows off his skill to walk on stilts.","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"857","NULL","NULL","Footage of ping pong balls being dropped on a crowd of peole from a helicopter.","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"871","NULL","NULL","A view of Mt. Everest from a base camp.","Amateur Footage","OUTDOOR ACTIVITIES","","","","","","","","",""
"872","NULL","NULL","Travellers looking at Mt. Everest and a map.","Amateur Footage","OUTDOOR ACTIVITIES","","","","","","","","",""
"883","NULL","NULL","A guy films and talks about a very large RV trailer that is parked close to him.","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"887","NULL","NULL","Footage of an outdoor sculpture exhibit on a beach, with interveiws going on in the background.","Home Video","ARTS & CRAFTS & HOBBIES","","","","","","","","",""
"919","P001","positive","A group of friends pitch a tent in a park.","Home Video","MED_10_EVENTS","Park, evening.","Group of friends, two tents, backpack, trees.","Securing the tent, laughing.","normal","normal","yes","yes","yes","yes"
"921","P002","positive","little league home run","Amateur Footage","MED_10_EVENTS","official outdoor ball field, during the day","baseball, bat, gove, crowd in background, fence, pitcher's mound, bases, other players, official","swinging a bat, running, cheering, clapping, crossing home plate","normal","normal","yes","no","no","no"
"961","NULL","NULL","Vignette of one boy's hits at t-ball game;one home run.","Home Video","MED_10_EVENTS","Boy hits t-ball home run","Two baseball teams in blue and red uniforms, fans, coaches, field, helmets, tee, trees, buildings, gloves, balls,","vignette of one boy hitting home run and other hits.","normal","normal","yes","no","no","no"
"1035","P002","positive","Single home run","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1037","P002","positive","Bases loaded hit drive in a run","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1039","P002","positive","Montage of at-bats including, strike outs, walks, base hits and runs batted in","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1063","NULL","NULL","Cat licking a napkin holder and walking around","Home Video","ANIMALS","","","","","","","","",""
"1064","NULL","NULL","Cats laying around","Home Video","ANIMALS","","","","","","","","",""
"1069","NULL","NULL","Cat playing","Home Video","ANIMALS","","","","","","","","",""
"1076","NULL","NULL","Cat chasing her tail","Home Video","ANIMALS","","","","","","","","",""
"1079","NULL","NULL","Dog playing fetch","Home Video","ANIMALS","","","","","","","","",""
"1082","NULL","NULL","Cat walking around","Home Video","ANIMALS","","","","","","","","",""
"1083","NULL","NULL","Dog playing tug of war and fetch","Home Video","ANIMALS","","","","","","","","",""
"1086","NULL","NULL","A man talks to the camera about his family's camping trip.","Video Blog","OUTDOOR ACTIVITIES","","","","","","","","",""
"1088","NULL","NULL","Cat playing with a radio","Home Video","ANIMALS","","","","","","","","",""
"1105","P001","positive","Assembling a tent in timelapse","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1107","P001","positive","Assembling a tent in timelapse","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1112","P001","positive","Setting up a tent","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1118","P001","positive","Inflating an army tent","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1120","P001","positive","Timelapse of setting up a tent","Home Video","MED_10_EVENTS","","","","normal","normal","no","yes","no","no"
"1124","P002","positive","An old newsreel about the world series, showing highlights including runs being batted in.","Movie (public domain)","MED_10_EVENTS","","","","normal","normal","yes","yes","no","no"
"1125","P001","positive","Timelapse of a man and his dog setting up a tent","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1127","P001","positive","Speed up of people setting up a tent","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1132","NULL","NULL","Cat playing with ball","Home Video","ANIMALS","","","","","","","","",""
"1133","NULL","NULL","Woman making a cat dance","Home Video","ANIMALS","","","","","","","","",""
"1135","NULL","NULL","Cat eating food and licking lips","Home Video","ANIMALS","","","","","","","","",""
"1136","NULL","NULL","Shots of flowers blowing in the breeze","Home Video","NATURE","","","","","","","","",""
"1138","NULL","NULL","Bird wandering in the grass and a shot of a flower","Home Video","NATURE","","","","","","","","",""
"1141","NULL","NULL","Little boy dancing while sitting on a couch","Home Video","DANCE","","","","","","","","",""
"1142","NULL","NULL","Little boy on a see saw with his dad","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1143","NULL","NULL","Little boy rock climbing on the playground","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1144","NULL","NULL","Little boy playing with toys","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"1151","NULL","NULL","Dad swing a little boy by his feet","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1152","P002","positive","In a youth baseball game, were the coaches pitch, 'Tyler' the focus of the video, gets a base hit and then scores on a batted ball.","Home Video","MED_10_EVENTS","a youth baseball game","'Tyler,' other players, coaches, camera person\nball, bat, glove","batting a ball, running the bases","normal","normal","yes","no","no","no"
"1153","NULL","NULL","Little boy on the swings with his mom","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1154","NULL","NULL","Little boy playing outside, rolling down a hill and getting dizzy","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1155","NULL","NULL","Little boy playing outside and in the leaves","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1158","NULL","NULL","This video shows six outs in a game of Little League baseball. In each half inning batsmen have several opportunities to drive in runs and fail to do so. In the first inning the batter grounds out to ","Home Video","MED_10_EVENTS","Little League Baseball game at a park in New Hope, PA","players, umpires, coaches, spectators\nbats, balls, gloves","bases on balls, errors, base hits, ground outs, fly outs, strike outs","normal","high","yes","no","no","no"
"1160","NULL","NULL","Vintage Newport Cigarrette Commercial","Advertisement (public domain)","ADVERTISEMENT","","","","","","","","",""
"1161","NULL","NULL","Vintage Tupperware Commercial","Advertisement (public domain)","ADVERTISEMENT","","","","","","","","",""
"1162","NULL","NULL","Vintage Aurora Stunt and Drag Race Set Commercial - race track for 'matchbox' or 'hot-wheels' type cars","Advertisement (public domain)","ADVERTISEMENT","","","","","","","","",""
"1168","P001","positive","A sped-up video of men building a temporary construction shed out of wood beams and tarps.","Home Video","MED_10_EVENTS","Outdoors, parking lot, day time","Men, blue tarps, wood beam, white van","Assembling wood beams together, attaching tarps","high","normal","no","no","no","no"
"1191","P003","positive","A woman explains the creation of a Gameboy cake, complete with sound effects and music.","Home Video","MED_10_EVENTS","Wooden table.","Hands, Gameboy controls for cake, wires, tupperware.","Explaining how the controls figure into the Gameboy cake.","high","normal","yes","no","no","no"
"1209","P001","positive","Setting up a tent","Home Video","MED_10_EVENTS","","","","normal","normal","not_sure","no","yes","no"
"1228","P001","positive","Self-erecting tent","Advertisement (public domain)","MED_10_EVENTS","","","","normal","normal","not_sure","not_sure","yes","yes"
"1229","P001","positive","Timelapse of roof tent being set up","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1230","P001","positive","Set up and tear down of a tent in timelapse","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1231","P001","positive","High speed tent setting up","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1232","P001","positive","Setting up a tent in timelapse","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1233","P001","positive","Artistic video of setting up a tent in timelapse","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","yes","no"
"1238","NULL","NULL","Mom and son on a slide","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1242","NULL","NULL","Little boy swaying to music","Home Video","DANCE","","","","","","","","",""
"1246","NULL","NULL","Little boy stepping in snow","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1247","NULL","NULL","Little kids playing soccer","Home Video","SPORTS","","","","","","","","",""
"1258","P002","positive","Video recap of a game of softball which are played by people in wheelchairs. Several 'runners' are batted in throughout the video.","Home Video","MED_10_EVENTS","a softball field","players, coaches, umpires\nwheelchairs, balls, bats, spectators","playing softball in wheelchairs","high","high","yes","yes","no","no"
"1259","P001","positive","Timelapse of setting up a tent","Home Video","MED_10_EVENTS","","","","normal","normal","no","not_sure","no","yes"
"1266","P001","positive","Dad setting up a tent with kids","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1268","P001","positive","Little girl and dad setting up her tent","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1269","P001","positive","Timelapse of setting up a tent","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1279","P001","positive","Camping in timelapse including pitching the tent, cooking and target practice.","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1281","P001","positive","Setting up an igloo tent on the beach in timelapse","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1282","P001","positive","Pitching many tents at a camp site in timelapse","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1316","P002","positive","In a game of softball, after several batters reaching base, a batter gets a hit and while advancing to third base a runner automatically advances to home and scores as a result of an overthrow.","Home Video","MED_10_EVENTS","softball field during the day","softball players, umpire, spectators\nsoftballs, bats","base hit, overthrow, error, run scoring","normal","high","yes","no","no","no"
"1340","NULL","NULL","Lightening in the distance","Home Video","NATURE","","","","","","","","",""
"1345","NULL","NULL","Little boy breaking a board","Home Video","SPORTS","","","","","","","","",""
"1350","NULL","NULL","Ice skating","Home Video","SPORTS","","","","","","","","",""
"1379","P003","positive","A chef  makes a first birthday cake","Tutorial","MED_10_EVENTS","","Birthday hats and signs hung that say 'Happy Birthday'","","high","high","not_sure","yes","yes","no"
"1410","P002","positive","Triple with 3 RBIs","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1411","P002","positive","2 RBI single","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1412","P002","positive","2 RBI single","Home Video","MED_10_EVENTS","","","","normal","normal","yes","no","no","no"
"1414","P002","positive","RBI","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1415","P002","positive","RBI","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1416","P002","positive","Home run","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1417","NULL","NULL","Kids on a see saw","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1419","NULL","NULL","Little girl on a playground","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1422","NULL","NULL","Shots of a hillside","Home Video","NATURE","","","","","","","","",""
"1425","P002","positive","A man hits a homerun.","Home Video","MED_10_EVENTS","Baseball field, outside, day time","Pitcher, batter, ball, bat","Pitching, batting, running","normal","normal","yes","no","no","no"
"1433","NULL","NULL","Little kids dancing","Home Video","DANCE","","","","","","","","",""
"1436","NULL","NULL","Little kids dancing","Home Video","DANCE","","","","","","","","",""
"1437","NULL","NULL","Little kids running down a hill","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1443","NULL","NULL","Little kids dancing in their car seats","Home Video","DANCE","","","","","","","","",""
"1555","P002","positive","Video shows clips of three plays at a high school baseball game. The first two clips represent negative examples, with the batter making an out with runners on base. In the last clip of the video, the","Home Video","MED_10_EVENTS","baseball field outside, daytime","players, coaches, umpires, spectators\nbaseballs, bats, gloves","ground out, line out, triple, batting in a run","normal","normal","yes","no","no","no"
"1556","P002","positive","RBI in a baseball game","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1557","P002","positive","RBI in a baseball game","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1563","P002","positive","Baseball game home run","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1567","P002","positive","Home run","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1568","P002","positive","Home run","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1579","NULL","NULL","Little boy dancing to James Brown","Home Video","DANCE","","","","","","","","",""
"1582","NULL","NULL","Little kid eating cake","Home Video","FOOD & DRINK","","","","","","","","",""
"1590","NULL","NULL","Baby crawling on the floor","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"1600","NULL","NULL","Babies talking jibberish","Home Video","CHILDREN","","","","","","","","",""
"1605","P002","positive","Double with a run batted in","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1609","P002","positive","Triple to knock in lead run","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1610","P002","positive","Home run","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1612","P002","positive","2 run home run","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1613","P002","positive","Home run","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1615","P002","positive","Home run","Home Video","MED_10_EVENTS","","","","normal","normal","yes","no","no","no"
"1620","NULL","NULL","Little girl crawling and playing","Home Video","CHILDREN","","","","","","","","",""
"1622","NULL","NULL","Little kid bouncing and swinging","Home Video","CHILDREN","","","","","","","","",""
"1637","NULL","NULL","Baby playing at the park","Home Video","CHILDREN","","","","","","","","",""
"1639","NULL","NULL","Mom and baby playing peek-a-boo","Home Video","CHILDREN","","","","","","","","",""
"1640","NULL","NULL","Baby playing with cups","Home Video","CHILDREN","","","","","","","","",""
"1646","NULL","NULL","Little girl eating","Home Video","FOOD & DRINK","","","","","","","","",""
"1667","P002","positive","RBI single","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1673","P002","positive","2 run RBI","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1681","NULL","NULL","Kids dancing","Home Video","DANCE","","","","","","","","",""
"1684","NULL","NULL","Little girl Easter egg hunting","Home Video","GAMES","","","","","","","","",""
"1722","NULL","NULL","A weightlifter demonstates the proper way to perform the olympic lift called the 'clean and jerk'","Tutorial","SPORTS","","","","","","","","",""
"1724","NULL","NULL","Little girl's dad swinging her around","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1726","NULL","NULL","Footage of a series of 'snatch' lofts performed in an Olympic style lifting seminar.","Amateur Footage","SPORTS","","","","","","","","",""
"1728","NULL","NULL","Little girl doing ballet","Home Video","DANCE","","","","","","","","",""
"1729","NULL","NULL","Little girl doing ballet","Home Video","DANCE","","","","","","","","",""
"1731","NULL","NULL","Little girl doing ballet","Home Video","DANCE","","","","","","","","",""
"1734","NULL","NULL","Little kids dancing","Home Video","DANCE","","","","","","","","",""
"1742","NULL","NULL","Little kids and mom dancing and playing to the nutcracker","Home Video","DANCE","","","","","","","","",""
"1764","NULL","NULL","Little boy dancing","Home Video","DANCE","","","","","","","","",""
"1765","NULL","NULL","Little boy playing in the pool with mom","Home Video","SPORTS","","","","","","","","",""
"1769","NULL","NULL","Little boy spinning","Home Video","CHILDREN","","","","","","","","",""
"1777","NULL","NULL","Little girl dancing and spinning","Home Video","DANCE","","","","","","","","",""
"1778","NULL","NULL","People sing 'Happy Birthday' and present a plate of cupcakes to a woman.","Home Video","CELEBRATION","","","","","","","","",""
"1779","NULL","NULL","Little girl watching and dancing to Bruce Springsteen","Demonstration","DANCE","","","","","","","","",""
"1783","NULL","NULL","Playing with a cat","Home Video","CHILDREN","","","","","","","","",""
"1789","P003","positive","Video of a person cutting a cake, filling it,","Amateur Footage","MED_10_EVENTS","Kitchen counter","A person, cake, lazy susan, knife, syrup, chocolate filling, jam, icing, airbrush, disposable pastry bag, pastry tip","Spreading, cutting, dousing, airbrushing, piping","normal","normal","no","not_sure","no","yes"
"1792","P001","positive","A man give detail instructions on how to make an igloo.","Home Video","MED_10_EVENTS","Outside, winter time. day & evening","Recycle bin, snow, gloves, adult male, saw, snow shovel, swingset, trees, male child, lantern","Crawling, sawing, talking","normal","normal","yes","no","no","no"
"1796","P001","positive","Time lapse video of igloo construction","Performance","MED_10_EVENTS","Outside, winter time","Multiple peole, snow","Building","normal","normal","no","no","no","no"
"1808","P002","positive","Hit plus run batted in","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1817","NULL","NULL","Breakdancing near Love Park Philadelphia, PA.","Amateur Footage","DANCE","","","","","","","","",""
"1819","NULL","NULL","Little girl dancing","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1824","NULL","NULL","Snow","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1825","NULL","NULL","Video from a track meet.","Amateur Footage","OUTDOOR ACTIVITIES","","","","","","","","",""
"1828","NULL","NULL","A boy poises motionless ready run with marathoners.","Amateur Footage","OUTDOOR ACTIVITIES","","","","","","","","",""
"1831","NULL","NULL","Dance team","Home Video","DANCE","","","","","","","","",""
"1832","NULL","NULL","Freestyle skateboarding circa 1989.","Performance","OUTDOOR ACTIVITIES","","","","","","","","",""
"1834","P001","positive","Time lapse video of a tent being set up.","Home Video","MED_10_EVENTS","Outdoors, day time","Large yellow and white striped tent, poles, string","People attaching the tent to poles","normal","normal","no","no","no","no"
"1835","NULL","NULL","Little boy dancing","Home Video","DANCE","","","","","","","","",""
"1836","NULL","NULL","A video of South St. Philadelphia","Amateur Footage","OUTDOOR ACTIVITIES","","","","","","","","",""
"1840","P001","positive","Time lapse video of people setting up a tent, narrated by someone reading 'She Walks In Beauty' by Byron.","Home Video","MED_10_EVENTS","Outdoors, woods, day time","2 adults, 1 child, tent, canvas, tent poles","Attaching tent to poles, covering tent with canvas","normal","normal","no","no","no","no"
"1842","NULL","NULL","A boy plays golf inside.","Home Video","SPORTS","","","","","","","","",""
"1844","NULL","NULL","A girl plays golf.","Home Video","SPORTS","","","","","","","","",""
"1845","NULL","NULL","Footage of the Aabury Park boardwalk.","Performance","OUTDOOR ACTIVITIES","","","","","","","","",""
"1848","NULL","NULL","A dog plays with dog toys.","Home Video","ANIMALS","","","","","","","","",""
"1849","NULL","NULL","Footage of the Zombie Walk event held in Abury Park, NJ.","Performance","ARTS & CRAFTS & HOBBIES","","","","","","","","",""
"1850","NULL","NULL","A baby plays with toys.","Home Video","CHILDREN","","","","","","","","",""
"1851","NULL","NULL","Baby playing peek-a-boo","Home Video","CHILDREN","","","","","","","","",""
"1852","NULL","NULL","A toddler brushes a cat and plays with cat toys.","Home Video","CHILDREN","","","","","","","","",""
"1854","NULL","NULL","children bake a cake for a birthday","Home Video","MED_10_EVENTS","kitchen, dining area of a house","children, cake mix, mixer, bowl, candles","children like cake mix off mixer, sing happy birthday in front of finished cake","normal","normal","yes","yes","no","no"
"1858","NULL","NULL","A kid falls off his skateboard.","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1860","NULL","NULL","A girl plays the ukelele and sings.","Home Video","MUSIC","","","","","","","","",""
"1864","P003","positive","many people bake many cakes for a birthday","Video Blog","MED_10_EVENTS","outdoor market, indoors","vendors, food, ingredients, cake mix, bowl, mixer, party-goers, baloons, knives, plates","buying ingredients, mixing batter, baking cake, decorating cake, text mentions birthday, people talk, blow out candle, play with balloons","normal","normal","no","yes","no","no"
"1865","NULL","NULL","someone mixes and bakes cookies","Amateur Footage","FOOD & DRINK","","","","","","","","",""
"1866","NULL","NULL","children cut a cake","Home Video","CELEBRATION","","","","","","","","",""
"1868","NULL","NULL","people throw confetti","Home Video","CELEBRATION","","","","","","","","",""
"1872","NULL","NULL","Little kid playing with bubbles","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1873","NULL","NULL","Little boy eating berries","Home Video","FOOD & DRINK","","","","","","","","",""
"1883","P001","positive","Two men assemble a tent in a clearing in the woods.","Demonstration","MED_10_EVENTS","Woods: day","Two men, tent, poles, stakes, rope, trees, logs","Assembling the tent.","normal","normal","no","no","no","no"
"1887","P001","positive","Time lapse footage of an igloo being built in a park.","Amateur Footage","MED_10_EVENTS","Snow-covered park, throughout the day","Approximately five people, backpacks,hats, gloves, scarves, trees, walking poles, tent, skis, snowboard","Building the igloo","normal","normal","no","no","no","no"
"1889","P001","positive","The process, and tour, of building a fort in the living room.","Home Video","MED_10_EVENTS","Family living room","Parents, two children, dog, sofa cushions, blankets, clothing pins, sheets, chair, music stands, house plants.","Building fort, tour, sleeping.","high","normal","yes","yes","no","no"
"1897","NULL","NULL","Performance by Make A Rising at the Danger Danger Gallery in Philadelphia, PA.","Performance","MUSIC","","","","","","","","",""
"1898","NULL","NULL","Performance by the noise duo Drums Like Machine Guns","Performance","MUSIC","","","","","","","","",""
"1900","NULL","NULL","Ballet piece performed by two dancers.","Performance","DANCE","","","","","","","","",""
"1902","P001","positive","wilderness survival including building a shelter","Video Blog","MED_10_EVENTS","outdoors, woods","campers, instructors, tents, sticks","camping, assembling a shelter","normal","normal","yes","no","no","no"
"1907","P001","positive","Three males building shelter for goats","Home Video","MED_10_EVENTS","snowy backyard","three males","sawing, drilling, assembling, measuring, talking","high","normal","yes","no","no","no"
"1908","P001","positive","how to build an igloo","Demonstration","MED_10_EVENTS","outdoors, Canada","trash cans, shovels, saw","making snow bricks, stacking","normal","normal","yes","yes","no","no"
"1910","P001","positive","building an igloo","Amateur Footage","MED_10_EVENTS","outdoors, winter","neighbors, family members, shovels, ice, snow","building an igloo","normal","normal","yes","no","no","no"
"1938","NULL","NULL","Video of 2 dogs staring out a window.","Home Video","ANIMALS","","","","","","","","",""
"1939","NULL","NULL","A Boston Terrier plays with a baby squirrel.","Home Video","ANIMALS","","","","","","","","",""
"1944","NULL","NULL","Birds splashing in a bird bath.","Home Video","ANIMALS","","","","","","","","",""
"1945","NULL","NULL","How to curl hair.","Tutorial","GROOMING","","","","","","","","",""
"1946","NULL","NULL","People crying after meeting the Dalai Lama.","Home Video","CELEBRATION","","","","","","","","",""
"1948","NULL","NULL","A cat takes a scrunchy out of a woman's ponytail.","Home Video","ANIMALS","","","","","","","","",""
"1950","NULL","NULL","A small walking robot.","Home Video","SCIENCE & TECHNOLOGY","","","","","","","","",""
"1952","NULL","NULL","A cat plays with an aloe plant.","Home Video","ANIMALS","","","","","","","","",""
"1955","P001","positive","A man begins the process of building an igloo in his yard","Home Video","MED_10_EVENTS","","","","normal","normal","yes","no","no","no"
"1957","P001","positive","two people assemble a tent","Home Video","MED_10_EVENTS","dessert","two people, rocks, dirt","pounding spikes into the ground and raising the tent","normal","normal","no","no","no","no"
"1963","P001","positive","A group of guys build an igloo in the woods","Amateur Footage","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1968","P001","positive","Men build an igloo in fast motion","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1971","P001","positive","An igloo is assempled in a backyard in tuime lapse video","Home Video","MED_10_EVENTS","","","","normal","normal","no","yes","no","no"
"1972","P001","positive","A guy builds a makeshift tent at Brooklyn Bridge Park.","Amateur Footage","MED_10_EVENTS","Outside, in Brooklyn","Various people, carboard, paper, park benches, Broklyn Bridge, Manahttan Bridge","Walking, unfolding, taping, taking photo","normal","normal","no","no","no","no"
"1979","NULL","NULL","A trainer demonstrate proper squat technique","Tutorial","SPORTS","","","","","","","","",""
